Ride_id,Date,Season_type,Year,Month,Hour,Holiday,Weekday,Weather,Temperature
1,01-01-2011,Spring,2011,January,0,TRUE,Saturday,"Clear, Partly cloudy",0.24
2,01-01-2011,Spring,2011,January,1,TRUE,Saturday,"Clear, Partly cloudy",0.22
3,01-01-2011,Spring,2011,January,2,TRUE,Saturday,"Clear, Partly cloudy",0.22
4,01-01-2011,Spring,2011,January,3,TRUE,Saturday,"Clear, Partly cloudy",0.24
5,01-01-2011,Spring,2011,January,4,TRUE,Saturday,"Clear, Partly cloudy",0.24
6,01-01-2011,Spring,2011,January,5,TRUE,Saturday,"Misty, Cloudy",0.24
7,01-01-2011,Spring,2011,January,6,TRUE,Saturday,"Clear, Partly cloudy",0.22
8,01-01-2011,Spring,2011,January,7,TRUE,Saturday,"Clear, Partly cloudy",0.2
9,01-01-2011,Spring,2011,January,8,TRUE,Saturday,"Clear, Partly cloudy",0.24
10,01-01-2011,Spring,2011,January,9,TRUE,Saturday,"Clear, Partly cloudy",0.32
11,01-01-2011,Spring,2011,January,10,TRUE,Saturday,"Clear, Partly cloudy",0.38
12,01-01-2011,Spring,2011,January,11,TRUE,Saturday,"Clear, Partly cloudy",0.36
13,01-01-2011,Spring,2011,January,12,TRUE,Saturday,"Clear, Partly cloudy",0.42
14,01-01-2011,Spring,2011,January,13,TRUE,Saturday,"Misty, Cloudy",0.46
15,01-01-2011,Spring,2011,January,14,TRUE,Saturday,"Misty, Cloudy",0.46
16,01-01-2011,Spring,2011,January,15,TRUE,Saturday,"Misty, Cloudy",0.44
17,01-01-2011,Spring,2011,January,16,TRUE,Saturday,"Misty, Cloudy",0.42
18,01-01-2011,Spring,2011,January,17,TRUE,Saturday,"Misty, Cloudy",0.44
19,01-01-2011,Spring,2011,January,18,TRUE,Saturday,"Light Rain,Thunderstorm",0.42
20,01-01-2011,Spring,2011,January,19,TRUE,Saturday,"Light Rain,Thunderstorm",0.42
21,01-01-2011,Spring,2011,January,20,TRUE,Saturday,"Misty, Cloudy",0.4
22,01-01-2011,Spring,2011,January,21,TRUE,Saturday,"Misty, Cloudy",0.4
23,01-01-2011,Spring,2011,January,22,TRUE,Saturday,"Misty, Cloudy",0.4
24,01-01-2011,Spring,2011,January,23,TRUE,Saturday,"Misty, Cloudy",0.46
25,02-01-2011,Spring,2011,January,0,TRUE,Sunday,"Misty, Cloudy",0.46
